name                             component                               version
e36f6e124c8295a8b66567c233d55db6 aws-opensearch-network-core-plugin      3.3.0
e36f6e124c8295a8b66567c233d55db6 aws-opensearch-network-plugin           3.3.0
e36f6e124c8295a8b66567c233d55db6 aws-opensearch-network-security-plugin  3.3.0
e36f6e124c8295a8b66567c233d55db6 cache-ehcache                           3.3.0
e36f6e124c8295a8b66567c233d55db6 crypto-kms                              3.3.0
e36f6e124c8295a8b66567c233d55db6 discovery-ec2                           3.3.0
e36f6e124c8295a8b66567c233d55db6 elasticsearch-aes-iam                   3.3.0
e36f6e124c8295a8b66567c233d55db6 elasticsearch-aes-remote-reindex        3.3.0
e36f6e124c8295a8b66567c233d55db6 ingest-attachment                       3.3.0
e36f6e124c8295a8b66567c233d55db6 kraken                                  unspecified
e36f6e124c8295a8b66567c233d55db6 kraken-index-management-extension       x.x.x.x
e36f6e124c8295a8b66567c233d55db6 mapper-murmur3                          3.3.0
e36f6e124c8295a8b66567c233d55db6 mapper-size                             3.3.0
e36f6e124c8295a8b66567c233d55db6 opensearch-alerting                     x.x.x.x
e36f6e124c8295a8b66567c233d55db6 opensearch-analysis-vietnamese          3.3.0
e36f6e124c8295a8b66567c233d55db6 opensearch-anomaly-detection            x.x.x.x
e36f6e124c8295a8b66567c233d55db6 opensearch-asynchronous-search          x.x.x.x
e36f6e124c8295a8b66567c233d55db6 opensearch-cross-cluster                3.3.0
e36f6e124c8295a8b66567c233d55db6 opensearch-cross-cluster-replication    x.x.x.x
e36f6e124c8295a8b66567c233d55db6 opensearch-custom-codecs                x.x.x.x
e36f6e124c8295a8b66567c233d55db6 opensearch-flow-framework               x.x.x.x
e36f6e124c8295a8b66567c233d55db6 opensearch-geospatial                   x.x.x.x
e36f6e124c8295a8b66567c233d55db6 opensearch-index-management             x.x.x.x
e36f6e124c8295a8b66567c233d55db6 opensearch-job-scheduler                x.x.x.x
e36f6e124c8295a8b66567c233d55db6 opensearch-knn                          x.x.x.x
e36f6e124c8295a8b66567c233d55db6 opensearch-ltr                          x.x.x.x-SNAPSHOT
e36f6e124c8295a8b66567c233d55db6 opensearch-ml                           x.x.x.x
e36f6e124c8295a8b66567c233d55db6 opensearch-neural-search                x.x.x.x
e36f6e124c8295a8b66567c233d55db6 opensearch-notifications                x.x.x.x
e36f6e124c8295a8b66567c233d55db6 opensearch-notifications-core           x.x.x.x
e36f6e124c8295a8b66567c233d55db6 opensearch-observability                x.x.x.x
e36f6e124c8295a8b66567c233d55db6 opensearch-reports-scheduler            x.x.x.x
e36f6e124c8295a8b66567c233d55db6 opensearch-search-relevance             x.x.x.x
e36f6e124c8295a8b66567c233d55db6 opensearch-security                     x.x.x.x
e36f6e124c8295a8b66567c233d55db6 opensearch-security-analytics           x.x.x.x
e36f6e124c8295a8b66567c233d55db6 opensearch-skills                       x.x.x.x
e36f6e124c8295a8b66567c233d55db6 opensearch-sql                          x.x.x.x
e36f6e124c8295a8b66567c233d55db6 opensearch-system-templates             x.x.x.x
e36f6e124c8295a8b66567c233d55db6 performance-analyzer                    x.x.x.x
e36f6e124c8295a8b66567c233d55db6 query-insights                          x.x.x.x
e36f6e124c8295a8b66567c233d55db6 repository-s3                           3.3.0
e36f6e124c8295a8b66567c233d55db6 sifi-remediation-plugin                 x.x.x.x
e36f6e124c8295a8b66567c233d55db6 telemetry-otel                          3.3.0
e36f6e124c8295a8b66567c233d55db6 workload-management                     3.3.0
2a48a7f283d807efb69d385ce1fba97d analysis-icu                            3.3.0
2a48a7f283d807efb69d385ce1fba97d analysis-ik                             3.3.0
2a48a7f283d807efb69d385ce1fba97d analysis-kuromoji                       3.3.0
2a48a7f283d807efb69d385ce1fba97d analysis-phonetic                       3.3.0
2a48a7f283d807efb69d385ce1fba97d analysis-seunjeon                       3.3.0
2a48a7f283d807efb69d385ce1fba97d analysis-smartcn                        3.3.0
2a48a7f283d807efb69d385ce1fba97d analysis-stempel                        3.3.0
2a48a7f283d807efb69d385ce1fba97d analysis-thaichub2                      3.3.0
2a48a7f283d807efb69d385ce1fba97d analysis-ukrainian                      3.3.0
2a48a7f283d807efb69d385ce1fba97d arrow-flight-rpc                        3.3.0
2a48a7f283d807efb69d385ce1fba97d aws-opensearch-admission-control-plugin 3.3.0
2a48a7f283d807efb69d385ce1fba97d aws-opensearch-coral-network-plugin     3.3.0
2a48a7f283d807efb69d385ce1fba97d aws-opensearch-network-core-plugin      3.3.0
2a48a7f283d807efb69d385ce1fba97d aws-opensearch-network-plugin           3.3.0
2a48a7f283d807efb69d385ce1fba97d aws-opensearch-network-security-plugin  3.3.0
2a48a7f283d807efb69d385ce1fba97d cache-ehcache                           3.3.0
2a48a7f283d807efb69d385ce1fba97d crypto-kms                              3.3.0
2a48a7f283d807efb69d385ce1fba97d discovery-ec2                           3.3.0
2a48a7f283d807efb69d385ce1fba97d elasticsearch-aes-iam                   3.3.0
2a48a7f283d807efb69d385ce1fba97d elasticsearch-aes-remote-reindex        3.3.0
2a48a7f283d807efb69d385ce1fba97d ingest-attachment                       3.3.0
2a48a7f283d807efb69d385ce1fba97d kraken                                  unspecified
2a48a7f283d807efb69d385ce1fba97d kraken-index-management-extension       x.x.x.x
2a48a7f283d807efb69d385ce1fba97d mapper-murmur3                          3.3.0
2a48a7f283d807efb69d385ce1fba97d mapper-size                             3.3.0
2a48a7f283d807efb69d385ce1fba97d opensearch-alerting                     x.x.x.x
2a48a7f283d807efb69d385ce1fba97d opensearch-analysis-vietnamese          3.3.0
2a48a7f283d807efb69d385ce1fba97d opensearch-anomaly-detection            x.x.x.x
2a48a7f283d807efb69d385ce1fba97d opensearch-asynchronous-search          x.x.x.x
2a48a7f283d807efb69d385ce1fba97d opensearch-cross-cluster                3.3.0
2a48a7f283d807efb69d385ce1fba97d opensearch-cross-cluster-replication    x.x.x.x
2a48a7f283d807efb69d385ce1fba97d opensearch-custom-codecs                x.x.x.x
2a48a7f283d807efb69d385ce1fba97d opensearch-flow-framework               x.x.x.x
2a48a7f283d807efb69d385ce1fba97d opensearch-geospatial                   x.x.x.x
2a48a7f283d807efb69d385ce1fba97d opensearch-index-management             x.x.x.x
2a48a7f283d807efb69d385ce1fba97d opensearch-job-scheduler                x.x.x.x
2a48a7f283d807efb69d385ce1fba97d opensearch-knn                          x.x.x.x
2a48a7f283d807efb69d385ce1fba97d opensearch-ltr                          x.x.x.x-SNAPSHOT
2a48a7f283d807efb69d385ce1fba97d opensearch-ml                           x.x.x.x
